hedis_id,measure_name,provider_id,numerator,denominator,performance_rate,target_rate,benchmark_rate,measurement_year,status,trend
HEDIS616479,Diabetes Care - Eye Exam,PROV00104,416,503,82.7,85.0,75.5,2024,Not Met,Stable
HEDIS730282,Diabetes Care - Eye Exam,PROV00048,114,771,14.79,85.0,75.5,2024,Not Met,Declining
HEDIS791527,Diabetes Care - Eye Exam,PROV00068,187,816,22.92,85.0,75.5,2024,Not Met,Stable
HEDIS680309,Diabetes Care - Eye Exam,PROV00150,212,822,25.79,85.0,75.5,2024,Not Met,Improving
HEDIS312567,Diabetes Care - Eye Exam,PROV00055,220,879,25.03,85.0,75.5,2024,Not Met,Stable
HEDIS206688,Diabetes Care - Eye Exam,PROV00069,123,763,16.12,85.0,75.5,2024,Not Met,Stable
HEDIS695452,Diabetes Care - Eye Exam,PROV00120,309,747,41.37,85.0,75.5,2024,Not Met,Stable
HEDIS469444,Diabetes Care - Eye Exam,PROV00054,415,577,71.92,85.0,75.5,2024,Not Met,Improving
HEDIS808978,Diabetes Care - Eye Exam,PROV00136,193,984,19.61,85.0,75.5,2024,Not Met,Declining
HEDIS978928,Diabetes Care - Eye Exam,PROV00130,327,691,47.32,85.0,75.5,2024,Not Met,Improving
HEDIS188117,Diabetes Care - Eye Exam,PROV00129,295,985,29.95,85.0,75.5,2024,Not Met,Declining
HEDIS135112,Diabetes Care - Eye Exam,PROV00037,196,902,21.73,85.0,75.5,2024,Not Met,Stable
HEDIS445306,Diabetes Care - Eye Exam,PROV00077,87,548,15.88,85.0,75.5,2024,Not Met,Stable
HEDIS583653,Diabetes Care - Eye Exam,PROV00099,420,807,52.04,85.0,75.5,2024,Not Met,Improving
HEDIS412316,Diabetes Care - Eye Exam,PROV00098,253,709,35.68,85.0,75.5,2024,Not Met,Improving
HEDIS994847,Diabetes Care - Eye Exam,PROV00015,282,871,32.38,85.0,75.5,2024,Not Met,Stable
HEDIS624960,Diabetes Care - Eye Exam,PROV00071,100,520,19.23,85.0,75.5,2024,Not Met,Stable
HEDIS881161,Diabetes Care - Eye Exam,PROV00108,134,723,18.53,85.0,75.5,2024,Not Met,Stable
HEDIS521040,Diabetes Care - Eye Exam,PROV00016,287,899,31.92,85.0,75.5,2024,Not Met,Stable
HEDIS477546,Diabetes Care - Eye Exam,PROV00062,340,690,49.28,85.0,75.5,2024,Not Met,Improving
HEDIS694095,Diabetes Care - Eye Exam,PROV00010,255,655,38.93,85.0,75.5,2024,Not Met,Stable
HEDIS641422,Diabetes Care - Eye Exam,PROV00133,134,688,19.48,85.0,75.5,2024,Not Met,Stable
HEDIS883001,Diabetes Care - Eye Exam,PROV00145,200,689,29.03,85.0,75.5,2024,Not Met,Improving
HEDIS726107,Diabetes Care - Eye Exam,PROV00117,230,877,26.23,85.0,75.5,2024,Not Met,Stable
HEDIS521257,Diabetes Care - Eye Exam,PROV00126,319,517,61.7,85.0,75.5,2024,Not Met,Improving
HEDIS644891,Diabetes Care - Eye Exam,PROV00065,219,570,38.42,85.0,75.5,2024,Not Met,Stable
HEDIS488497,Diabetes Care - Eye Exam,PROV00045,278,953,29.17,85.0,75.5,2024,Not Met,Improving
HEDIS955966,Diabetes Care - Eye Exam,PROV00097,420,878,47.84,85.0,75.5,2024,Not Met,Stable
HEDIS317250,Diabetes Care - Eye Exam,PROV00002,159,848,18.75,85.0,75.5,2024,Not Met,Improving
HEDIS416383,Diabetes Care - Eye Exam,PROV00115,404,724,55.8,85.0,75.5,2024,Not Met,Stable
HEDIS437367,Diabetes Care - Eye Exam,PROV00109,292,898,32.52,85.0,75.5,2024,Not Met,Improving
HEDIS644460,Diabetes Care - Eye Exam,PROV00047,241,878,27.45,85.0,75.5,2024,Not Met,Improving
HEDIS497040,Diabetes Care - Eye Exam,PROV00021,148,917,16.14,85.0,75.5,2024,Not Met,Declining
HEDIS621215,Diabetes Care - Eye Exam,PROV00079,398,556,71.58,85.0,75.5,2024,Not Met,Stable
HEDIS659224,Diabetes Care - Eye Exam,PROV00076,287,597,48.07,85.0,75.5,2024,Not Met,Improving
HEDIS575379,Diabetes Care - Eye Exam,PROV00121,435,616,70.62,85.0,75.5,2024,Not Met,Improving
HEDIS343198,Diabetes Care - Eye Exam,PROV00096,155,739,20.97,85.0,75.5,2024,Not Met,Stable
HEDIS195967,Diabetes Care - Eye Exam,PROV00053,155,733,21.15,85.0,75.5,2024,Not Met,Stable
HEDIS786952,Diabetes Care - Eye Exam,PROV00087,291,638,45.61,85.0,75.5,2024,Not Met,Improving
HEDIS607094,Diabetes Care - Eye Exam,PROV00112,145,625,23.2,85.0,75.5,2024,Not Met,Stable
HEDIS113083,Diabetes Care - Eye Exam,PROV00131,88,945,9.31,85.0,75.5,2024,Not Met,Stable
HEDIS777516,Diabetes Care - Eye Exam,PROV00026,168,583,28.82,85.0,75.5,2024,Not Met,Improving
HEDIS179096,Diabetes Care - Eye Exam,PROV00023,345,687,50.22,85.0,75.5,2024,Not Met,Stable
HEDIS537135,Diabetes Care - Eye Exam,PROV00084,190,768,24.74,85.0,75.5,2024,Not Met,Stable
HEDIS693840,Diabetes Care - Eye Exam,PROV00003,389,536,72.57,85.0,75.5,2024,Not Met,Declining
HEDIS651591,Diabetes Care - Eye Exam,PROV00089,441,925,47.68,85.0,75.5,2024,Not Met,Declining
HEDIS589818,Diabetes Care - Eye Exam,PROV00058,211,746,28.28,85.0,75.5,2024,Not Met,Stable
HEDIS754425,Diabetes Care - Eye Exam,PROV00105,155,703,22.05,85.0,75.5,2024,Not Met,Improving
HEDIS982423,Diabetes Care - Eye Exam,PROV00067,308,513,60.04,85.0,75.5,2024,Not Met,Improving
HEDIS207076,Diabetes Care - Eye Exam,PROV00032,439,734,59.81,85.0,75.5,2024,Not Met,Stable
HEDIS101950,Diabetes Care - Kidney Check,PROV00044,88,780,11.28,85.0,75.5,2024,Not Met,Declining
HEDIS303680,Diabetes Care - Kidney Check,PROV00100,254,687,36.97,85.0,75.5,2024,Not Met,Improving
HEDIS724966,Diabetes Care - Kidney Check,PROV00002,422,830,50.84,85.0,75.5,2024,Not Met,Improving
HEDIS541347,Diabetes Care - Kidney Check,PROV00134,441,677,65.14,85.0,75.5,2024,Not Met,Improving
HEDIS937440,Diabetes Care - Kidney Check,PROV00017,299,755,39.6,85.0,75.5,2024,Not Met,Stable
HEDIS392535,Diabetes Care - Kidney Check,PROV00096,232,964,24.07,85.0,75.5,2024,Not Met,Stable
HEDIS257802,Diabetes Care - Kidney Check,PROV00125,450,872,51.61,85.0,75.5,2024,Not Met,Declining
HEDIS334322,Diabetes Care - Kidney Check,PROV00069,342,549,62.3,85.0,75.5,2024,Not Met,Improving
