provider_id,provider_name,specialty,network,years_experience,accepts_medicaid,accepts_medicare
PROV00001,Dr. Miller C,Pulmonology,Network B,18,True,True
PROV00002,Dr. Davis B,Primary Care,Network C,7,True,True
PROV00003,Dr. Brown B,Pulmonology,Network A,15,True,True
PROV00004,Dr. Davis B,Nephrology,Network A,19,True,True
PROV00005,Dr. Jones A,Pulmonology,Network B,31,True,True
PROV00006,Dr. Smith A,Nephrology,Network B,10,True,True
PROV00007,Dr. Williams B,Cardiology,Network B,15,True,True
PROV00008,Dr. Williams A,Psychiatry,Network C,18,False,True
PROV00009,Dr. Williams C,Nephrology,Network C,23,True,True
PROV00010,Dr. Davis B,Pulmonology,Network A,33,True,True
PROV00011,Dr. Smith B,Psychiatry,Network A,13,True,True
PROV00012,Dr. Jones B,Dermatology,Network C,17,True,True
PROV00013,Dr. Jones A,Orthopedics,Network A,23,False,True
PROV00014,Dr. Williams C,Psychiatry,Network C,3,True,True
PROV00015,Dr. Jones B,Pulmonology,Network B,9,True,True
PROV00016,Dr. Smith B,Pulmonology,Network C,2,True,True
PROV00017,Dr. Williams A,Orthopedics,Network C,6,True,True
PROV00018,Dr. Brown A,Dermatology,Network C,18,True,True
PROV00019,Dr. Brown C,Primary Care,Network A,31,False,True
PROV00020,Dr. Williams C,Cardiology,Network C,16,True,False
PROV00021,Dr. Rodriguez A,Nephrology,Network C,21,True,True
PROV00022,Dr. Williams A,Endocrinology,Network C,3,True,True
PROV00023,Dr. Williams A,Nephrology,Network B,5,False,True
PROV00024,Dr. Brown B,Pulmonology,Network C,25,True,True
PROV00025,Dr. Davis C,Endocrinology,Network C,3,True,True
PROV00026,Dr. Davis B,Endocrinology,Network C,3,True,True
PROV00027,Dr. Williams B,Nephrology,Network A,2,True,True
PROV00028,Dr. Rodriguez C,Orthopedics,Network B,14,True,True
PROV00029,Dr. Davis A,Nephrology,Network B,7,True,True
PROV00030,Dr. Davis C,Nephrology,Network C,23,False,True
PROV00031,Dr. Miller A,Nephrology,Network C,18,True,True
PROV00032,Dr. Rodriguez A,Orthopedics,Network A,23,True,True
PROV00033,Dr. Rodriguez C,Orthopedics,Network C,7,True,True
PROV00034,Dr. Davis A,Cardiology,Network A,4,True,True
PROV00035,Dr. Brown A,Primary Care,Network C,7,True,True
PROV00036,Dr. Smith C,Primary Care,Network A,18,False,True
PROV00037,Dr. Rodriguez B,Nephrology,Network B,24,True,True
PROV00038,Dr. Brown B,Primary Care,Network C,9,True,True
PROV00039,Dr. Rodriguez A,Nephrology,Network A,8,True,True
PROV00040,Dr. Smith B,Nephrology,Network A,11,False,True
PROV00041,Dr. Williams C,Nephrology,Network C,27,True,False
PROV00042,Dr. Brown A,Psychiatry,Network A,11,True,True
PROV00043,Dr. Jones C,Cardiology,Network C,20,True,True
PROV00044,Dr. Miller C,Pulmonology,Network C,24,True,True
PROV00045,Dr. Miller B,Primary Care,Network A,32,True,True
PROV00046,Dr. Brown B,Primary Care,Network A,34,True,True
PROV00047,Dr. Davis A,Cardiology,Network A,3,True,False
PROV00048,Dr. Brown C,Cardiology,Network B,29,False,True
PROV00049,Dr. Williams B,Nephrology,Network C,33,True,False
PROV00050,Dr. Rodriguez C,Nephrology,Network C,34,True,True
PROV00051,Dr. Smith A,Psychiatry,Network B,10,False,True
PROV00052,Dr. Jones B,Psychiatry,Network B,30,True,False
PROV00053,Dr. Brown B,Dermatology,Network A,16,True,False
PROV00054,Dr. Miller C,Pulmonology,Network C,19,True,True
PROV00055,Dr. Rodriguez A,Primary Care,Network B,19,True,False
PROV00056,Dr. Smith A,Cardiology,Network B,8,True,True
PROV00057,Dr. Rodriguez A,Pulmonology,Network C,15,True,False
PROV00058,Dr. Williams A,Primary Care,Network C,30,True,False
PROV00059,Dr. Miller B,Pulmonology,Network C,20,True,True
PROV00060,Dr. Smith B,Dermatology,Network A,6,True,True
PROV00061,Dr. Williams B,Pulmonology,Network B,6,True,True
PROV00062,Dr. Smith C,Orthopedics,Network A,16,True,True
PROV00063,Dr. Williams B,Nephrology,Network C,27,True,True
PROV00064,Dr. Miller B,Pulmonology,Network C,25,True,True
